competency,resume_text,level
"Методы машинного обучения","Участвовал в проекте по классификации изображений с использованием PyTorch. Использовал pandas и sklearn для предобработки. Писал SQL-запросы к PostgreSQL.",2
"SQL базы данных (GreenPLum, Postgres, Oracle)","Участвовал в проекте по классификации изображений с использованием PyTorch. Использовал pandas и sklearn для предобработки. Писал SQL-запросы к PostgreSQL.",3
"Глубокое обучение","Участвовал в проекте по классификации изображений с использованием PyTorch. Использовал pandas и sklearn для предобработки. Писал SQL-запросы к PostgreSQL.",2
"Анализ изображений и видео","Участвовал в проекте по классификации изображений с использованием PyTorch. Использовал pandas и sklearn для предобработки. Писал SQL-запросы к PostgreSQL.",2
"Определения, история развития и главные тренды ИИ","Изучал основные концепции искусственного интеллекта, включая исторические вехи развития. Анализировал современные тренды в области нейросетей и генеративного ИИ.",1
"Процесс, стадии и методологии разработки решений на основе ИИ","Разрабатывал ML-модели в Docker-контейнерах, управлял версиями кода через Git. Автоматизировал пайплайны с помощью Bash-скриптов на Linux-серверах.",3
"Статистические методы и первичный анализ данных","Проводил A/B-тестирование, рассчитывал p-значения. Визуализировал распределения данных с помощью seaborn, проверя гипотезы о нормальности.",2
"Оценка качества работы методов ИИ","Рассчитывал метрики precision, recall, F1 для моделей классификации. Оптимизировал гиперпараметры для улучшения ROC-AUC.",2
"Языки программирования и библиотеки","Разрабатывал REST API на Python (FastAPI), писал высокопроизводительные вычисления на C++ с использованием SIMD инструкций.",3
"NoSQL базы данных","Настраивал шардирование в MongoDB, разрабатывал сложные агрегационные пайплайны. Оптимизировал запросы в ElasticSearch для полнотекстового поиска.",3
"Hadoop, SPARK, Hive","Обрабатывал большие данные с помощью Spark SQL, писал UDF функции для Hive. Оптимизировал выполнение jobs в Hadoop кластере.",2
"Качество и предобработка данных","Обрабатывал пропуски через KNNImputer, нормализовал признаки RobustScaler. Реализовывал кастомные трансформеры для sklearn пайплайнов.",2
"Рекомендательные системы","Строил системы collaborative filtering на основе SVD. Разрабатывал гибридные рекомендации, комбинируя контентные и поведенческие сигналы.",3
"Методы оптимизации","Реализовывал градиентный спуск с momentum, подбирал learning rate адаптивными методами. Решал задачи выпуклой оптимизации в CVXPY.",2
"Основы глубокого обучения","Строил нейросети на Keras/TensorFlow (Dense, CNN, RNN слои). Настраивал callback'и для early stopping и динамического LR.",1
"Глубокое обучение для анализа естественного языка","Тренировал BERT для NER, дообучал ruBERT на доменных текстах. Применял HuggingFace Transformers для задач классификации.",3
"Обучение с подкреплением","Реализовывал Q-learning для игровых агентов. Строил policy gradient методы для управления в среде OpenAI Gym.",2
"Анализ естественного языка","Извлекал сущности с помощью SpaCy, тематическое моделирование Gensim. Строил word2vec и doc2vec эмбеддинги для текстов.",2
"Информационный поиск","Настраивал BM25 в ElasticSearch, реализовывал релевантный поиск с учетом синонимов. Строил системы question-answering на BERT.",3
"Массово параллельные вычисления","Ускорял обучение моделей на GPU через CUDA ядра. Оптимизировал batch processing в PyTorch с использованием DataParallel.",2
"Потоковая обработка данных","Разрабатывал пайплайны в Apache Kafka, настраивал оконные агрегации в Flink. Обрабатывал события в реальном времени с помощью Spark Streaming.",3
"Массово параллельная обработка и анализ данных","Параллелизовал ETL процессы с помощью Dask, распределял вычисления на кластере с Ray. Оптимизировал partition'и в Spark DataFrame.",3
"Машинное обучение на больших данных","Обучал модели на датасетах >1TB с помощью Featuretools и Dask. Реализовывал online learning для потоковых данных.",3
"Глубокое обучение для анализа и генерации изображений","Генерировал изображения с помощью StyleGAN2, дообучал Diffusion модели. Сегментировал медицинские снимки с U-Net архитектурами.",3
"Работа с распределенной кластерной системой","Настраивал YARN для управления ресурсами, мониторил выполнение задач через Spark UI. Балансировал нагрузку в Kubernetes кластере.",2
"Определения, история развития и главные тренды ИИ","Прошел онлайн-курс по основам ИИ (6 месяцев), изучил ключевые концепции через научные статьи и блоги. Участвовал в AI-хакатоне.",1
"Процесс, стадии и методологии разработки решений на основе ИИ","2 года коммерческой разработки ML-решений: CI/CD пайплайны, контейнеризация моделей, code review. Руководил командой из 3 человек.",2
"Статистические методы и первичный анализ данных","4 года применения статистики в A/B тестах и анализе данных. Разработал библиотеку для автоматического расчета 50+ метрик.",3
"Оценка качества работы методов ИИ","8 месяцев практики: рассчитывал confusion matrix, строил ROC-кривые. Автоматизировал отчеты по качеству моделей.",1
"Языки программирования и библиотеки","5+ лет промышленной разработки на Python: асинхронное программирование, оптимизация памяти. Вклад в open-source библиотеки.",3
"SQL базы данных","3 года работы с PostgreSQL: оконные функции, материализованные представления. Оптимизировал запросы с explain analyze.",2
"NoSQL базы данных","1 год работы с MongoDB: индексы, агрегации. Разработал систему кэширования на Redis для высоконагруженного сервиса.",1
"Hadoop, SPARK, Hive","6 месяцев обучения: базовые операции в PySpark, простые Hive-запросы. Участвовал в миграции ETL на Spark.",1
"Качество и предобработка данных","4 года создания пайплайнов: кастомные трансформеры, feature selection. Разработал систему мониторинга дрейфа данных.",3
"Рекомендательные системы","2.5 года разработки recsys: матричная факторизация, content-based подходы. Увеличил CTR рекомендаций на 15%.",2
"Методы оптимизации","7 месяцев изучения: реализовал градиентный спуск, Adam. Решал задачи линейного программирования на производстве.",1
