competency,resume_text,level
"Определения, история развития и главные тренды ИИ","Прошёл вводный курс по ИИ, читал обзорные статьи про нейросети и LLM, понимаю базовые термины без глубокой практики.",1
"Определения, история развития и главные тренды ИИ","На работе готовил обзоры трендов GenAI для команды: сравнивал подходы, риски и ограничения моделей, участвовал в внутренних воркшопах.",2
"Определения, история развития и главные тренды ИИ","Вёл стратегические сессии по внедрению ИИ в продукт, консультировал руководство, следил за дорожной картой исследований и регуляторики.",3
"Процесс, стадии и методологии разработки решений на основе ИИ (Docker, Linux/Bash, Git)","Делал коммиты в Git, запускал простые скрипты в терминале Linux, собирал учебный проект в Docker по инструкции.",1
"Процесс, стадии и методологии разработки решений на основе ИИ (Docker, Linux/Bash, Git)","Вёл feature-ветки в Git, писал bash-скрипты для автоматизации, контейнеризировал сервисы в Docker и подключал к CI.",2
"Процесс, стадии и методологии разработки решений на основе ИИ (Docker, Linux/Bash, Git)","Спроектировал end-to-end MLOps-процесс: ревью кода, релизы, контейнеры, окружения, мониторинг пайплайнов обучения и выката моделей.",3
"Статистические методы и первичный анализ данных","Считал среднее, медиану, строил гистограммы, читал корреляции в pandas для отчёта по датасету.",1
"Статистические методы и первичный анализ данных","Проверял гипотезы t-тестом и Mann–Whitney, строил доверительные интервалы, визуализировал распределения и выбросы.",2
"Статистические методы и первичный анализ данных","Проектировал дизайн экспериментов для продукта, контролировал мощность теста, интерпретировал результаты для бизнес-решений на больших выборках.",3
"Оценка качества работы методов ИИ","Считал accuracy на учебной задаче, смотрел confusion matrix в sklearn без настройки порогов.",1
"Оценка качества работы методов ИИ","Настраивал precision/recall, ROC-AUC, калибровку вероятностей, сравнивал модели на hold-out и кросс-валидации.",2
"Оценка качества работы методов ИИ","Внедрял мониторинг дрейфа данных и качества в проде, A/B для моделей, алерты по деградации метрик и разбор инцидентов.",3
"Языки программирования и библиотеки (Python, C++)","Писал небольшие скрипты на Python: циклы, функции, простые скрипты обработки CSV.",1
"Языки программирования и библиотеки (Python, C++)","Разрабатывал сервисы на Python (FastAPI), оптимизировал узкие места на C++ для численных ядер и интеграции с Python.",2
"Языки программирования и библиотеки (Python, C++)","Архитектор высоконагруженного сервиса: асинхронный Python, профилирование, критичные модули на C++, code review и стандарты команды.",3
"SQL базы данных (GreenPLum, Postgres, Oracle)","Писал простые SELECT и JOIN, создавал таблицы по шаблону, выполнял запросы в PostgreSQL.",1
"SQL базы данных (GreenPLum, Postgres, Oracle)","Оптимизировал запросы explain analyze, использовал оконные функции, индексы, партиции в Greenplum/Postgres.",2
"SQL базы данных (GreenPLum, Postgres, Oracle)","Проектировал схемы для аналитики на больших объёмах, шардирование/репликация, сложные CTE и материализованные представления под SLA.",3
"NoSQL базы данных (Cassandra, MongoDB, ElasticSearch, Neo4J, Hbase)","Читал документацию MongoDB, делал простые find() и вставки документов в учебном проекте.",1
